conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario						
66	1642	51494	can increase my credit limit?	1465708619	2336	0	5	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
77	1885	54176	"hello, can i change into basic back? rm 8 for 500 mb"	1465804298	2458	0	10	English	Billing	Billing Details	Wrong	Wrong	Request	False	None						
78	1930	54353	CAN U CHECK WHEN I START USING LINE REDONE?	1465807830	2463	0	9	English	Billing	Billing Cycle	Wrong	Wrong	Request	False	None						
84	2108	54646	"hello, i do not make a call or msg to a particular number...but i am being charged..how can i make a report?"	1465811577	2478	0	22	English	Billing	Billing Error	Billing	BillBreakdown	Reason	False	ItemDefinition						
87	2182	56629	"Hi, I would like to check when is my registration date with Redone."	1465887396	2579	0	13	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
105	2597	59877	"okayy thanks, can the credit limit been increased to a higher amount rather than 50 ?"	1465971244	2736	0	15	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
105	2605	59973	where can i fill up the forms and pay the deposit? any redone kiosk is it?	1465971675	2736	0	16	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Procedure	False	IncreaseCreditLimit						
119	2944	62868	i want to know when is redone block the 5 digits number ?	1466040144	2852	0	13	English	Billing	Mobile Content	Billing	Barring	ObjectOthers	False	LineStatus						
120	3024	64928	can i know my online payment active or not?	1466062225	2941	0	9	English	Billing	Billing Error	Billing	PaymentChannel	ObjectOthers	False	HowPay						
123	3103	66406	Morning how I want to increase my cal limit can I do in online or have to go to service center	1466124854	3003	0	21	English	Billing	Increase credit limit	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
126	3165	66706	"HI,I'm the sub-line under 0146176709 (main line). I need to send an MMS message..but can't ."	1466128870	3017	0	16	English	Billing	MMS Rate	Wrong	Wrong	ObjectOthers	False	None						
126	3177	66759	how much to charges to active the data..and can I un-active if I din use it.	1466129394	3017	0	16	English	Billing	MMS Rate	Wrong	Wrong	ObjectNumeric	False	None						
138	3506	70858	but why i sms to redone got charging.	1466324514	3199	0	8	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	ItemDefinition						
141	3547	72286	Hi guys. I have fully used my internet quota. Can I add my data quota?	1466402180	3271	0	15	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	Request	False	None						
142	3572	72673	is it credit limit is RM 300 per month?	1466408091	3281	0	8	English	Billing	Unsuspend lines - (Within 50 days)	Billing	CreditLimit	ObjectOthers	False	CheckCreditLimitAmount						
149	3706	76376	Could u check if these account reach 1 year contract?	1466582890	3475	0	10	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
149	3707	76377	As I would like to change to new rm 8 plan	1466582914	3475	0	10	English	Billing	Billing Details	Wrong	Wrong	Request	False	None						
150	3743	76483	Hi redone <NL>I just get a sms which said my charge is already exceed 80 % of rm 50 of my credit limit.<NL>My question is my cr limit is just only Rm 50 ?	1466584645	3479	0	32	English	Billing	Increase credit limit	Billing	CreditLimit	ObjectOthers	False	CreditLimitSOP						
150	3754	76527	Why my credit limit bcome Rm 50 ?	1466584904	3479	0	6	English	Billing	Increase credit limit	Billing	CreditLimit	Reason	False	CheckCreditLimitAmount						
150	3758	76538	the RM 50 limit is for my phone only ? Or others subline ?	1466585008	3479	0	14	English	Billing	Increase credit limit	Billing	CreditLimit	ObjectDefinition	False	CheckCreditLimitAmount						
154	3847	78474	how much is it for the data?	1466680101	3582	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Wrong	Wrong	ObjectNumeric	False	None						
156	3878	79200	what is the meaning of assign password??	1466743901	3620	0	7	English	Billing	Payment Type	Wrong	Wrong	ObjectDefinition	False	None						
165	4044	86765	"can i know RM 8 per month, how many minute can i call out?"	1467103884	3937	0	13	English	Billing	Payment Status	Wrong	Wrong	ObjectNumeric	False	None						
172	4173	87464	can't send sms to those 60000 series number.	1467167863	3970	0	8	English	Billing	SMS Rate	Billing	Barring	Procedure	False	LineStatus						
172	4189	87481	it return error message<NL>[ RM 0.00 ] The service is not available. Please try again later. ***	1467168439	3970	0	14	English	Billing	SMS Rate	Billing	Barring	Procedure	False	LineStatus						
176	4273	87960	This line has contract?	1467180912	3994	0	4	English	Billing	Billing Cycle	Wrong	Wrong	ObjectOthers	False	None						
176	4278	87966	"i mean when i sign up the plan, what is the contract period"	1467180964	3994	0	13	English	Billing	Billing Cycle	Wrong	Wrong	ObjectTime	False	None						
179	4360	92501	is there an APP for redone to check the usage?	1467333608	4205	0	10	English	Billing	Make Payment - Selfcare	Wrong	Wrong	ObjectOthers	False	None						
182	4415	92894	tq! Pls reduce the credit limit to RM 30.00 & after 1 week to activate	1467335919	4225	0	14	English	Billing	Billing Details	Billing	CreditLimit	Request	False	DecreaseCreditLimit						
191	4608	94004	"Sure, I would like to know which line is consuming the data of 1 kb?"	1467342799	4271	0	14	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	ObjectOthers	False	None						
195	4675	94369	pls upgrade my credit limit from Rm 50 to RM 100 my h/p no is 016 888 2155 tks	1467345699	4290	0	17	English	Billing	Increase credit limit	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
196	4695	94465	"regarding the data charges, may i request auto stop running data when i exceed the limit of 2 GB?"	1467346480	4292	0	19	English	Billing	Un-bar lines - Overdue Payment	Wrong	Wrong	Request	False	None						
196	4711	94560	how can i subscibe for this package?	1467347832	4292	0	7	English	Billing	Un-bar lines - Overdue Payment	Wrong	Wrong	Procedure	False	None						
196	4726	94638	i decided to change to this package	1467348808	4292	0	7	English	Billing	Un-bar lines - Overdue Payment	Wrong	Wrong	Request	False	None						
196	4733	94659	but i wan to change for both number registered under my name. 0136264421 and 0136264421 	1467348993	4292	0	15	English	Billing	Un-bar lines - Overdue Payment	Wrong	Wrong	Procedure	False	None						
213	5122	102421	Billing address.	1467536539	4629	0	2	English	Billing	Billing Address	Billing	Document	ObjectOthers	False	ChangeDetails						
213	5151	102503	"Ya, when will I receive my power bank?"	1467537351	4629	0	8	English	Billing	Billing Address	Wrong	Wrong	ObjectTime	False	None						
217	5278	107953	WHY CANNOT CHANGE PASSWORD TQ	1467692675	4882	0	5	English	Billing	Billing Details	Billing	Document	ObjectOthers	False	ChangeDetails						
220	5339	108291	"I tried many times to change new password, still unsuccessful, why??"	1467698885	4897	0	11	English	Billing	Make Payment - Selfcare	Billing	Document	Reason	False	ChangeDetails						
220	5347	108334	"I tried many times to change new password, still unsuccessful, why??"	1467699070	4897	0	11	English	Billing	Make Payment - Selfcare	Billing	Document	Reason	False	ChangeDetails						
223	5431	108724	i want to know when my contract expired	1467703300	4917	0	8	English	Billing	Billing Details	Wrong	Wrong	ObjectTime	False	None						
229	5625	109504	my phone number cannot call and sms	1467768794	4947	0	7	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Procedure	False	WhyBar						
231	5678	110082	can i ask why my other redone number can not access in self care login	1467787080	4972	0	15	English	Billing	Make Payment - Selfcare	Wrong	Wrong	Reason	False	None						
256	6275	112720	May I know am I still hv agreement ?	1467979628	5076	0	9	English	Billing	Billing Charges	Wrong	Wrong	ObjectOthers	False	None						
257	6343	114669	I terminated end of june?	1468137837	5157	0	5	English	Billing	Waiver	Billing	Termination	ObjectTime	False	TerminationStatus						
259	6382	114834	can terminate or not	1468146636	5167	0	4	English	Billing	Product Charges	Billing	Termination	Request	False	HowTerminate						
259	6396	114859	how to change back to no data	1468146995	5167	0	7	English	Billing	Product Charges	Wrong	Wrong	Procedure	False	None						
259	6398	114862	ayoyo..how long is the contratcs.. 6 mths?	1468147065	5167	0	6	English	Billing	Product Charges	Wrong	Wrong	ObjectTime	False	None						
261	6420	115708	case no: 497771 still not complete yet???	1468208732	5209	0	7	English	Billing	Billing Details	Wrong	Wrong	Request	False	None						
262	6430	117753	WHERE CAN I CHECK USAGE DATE FOR MY PLAN ?	1468292636	5292	0	10	English	Billing	Billing Details	Wrong	Wrong	Procedure	False	None						
262	6439	117796	wat is PPU mean?	1468292829	5292	0	4	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition						
262	6442	117833	"For Plan Data 8 now ,is it got 500 mb for free ?"	1468293151	5292	0	12	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
264	6478	119177	Check the request to change plan from redplan 8 to data 8. Case number 474882 	1468313737	5344	0	13	English	Billing	Billing Details	Wrong	Wrong	Request	False	None						
264	6481	119187	How about case number 621658 	1468313822	5344	0	5	English	Billing	Billing Details	None	None	None	False							
264	6484	119202	Why my package still not change	1468313892	5344	0	6	English	Billing	Billing Details	Wrong	Wrong	Reason	False	None						
270	6625	120410	may i know why red 1 online a/c show that i have used 100.8 mb until today but my phone only recorded 58.87 MB?	1468378865	5410	0	22	English	Billing	Billing Details	Wrong	Wrong	Reason	False	None						
270	6640	120445	but this 8.86 is inclusive of RM 0.33 for data charges	1468379553	5410	0	10	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition						
270	6641	120446	RM 0.33 data charges for 100.81 MB	1468379583	5410	0	6	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition						
270	6647	120453	my phone show i only used 58.87 MB	1468379750	5410	0	7	English	Billing	Billing Details	Wrong	Wrong	None	False	None						
270	6653	120461	how to check ussd?	1468379995	5410	0	4	English	Billing	Billing Details	Wrong	Wrong	Procedure	False	None						
274	6772	120967	and my name of this account was wrong	1468385257	5430	0	8	English	Billing	Billing Details	Billing	Document	Procedure	False	ChangeDetails						
288	7110	140288	yeap.. can you check if my email is correct	1468835228	6270	0	9	English	Billing	Un-bar lines - Overdue Payment	Billing	Document	Request	False	ChangeDetails						
290	7160	140379	I would like to change my email address as the previous email entered by an agent is wrong and I am unable to edit this via self care. Thank you	1468836294	6274	0	30	English	Billing	Billing Address	Billing	Document	Request	False	ChangeDetails						
290	7165	140397	I just activated my account since yesterday and did not realize the agent has entered my email wrongly until today as I checked my account via 123. Can you please help me change to dreamwalkerthu@hotmail.com? Thanks	1468836430	6274	0	36	English	Billing	Billing Address	Billing	Document	Request	False	ChangeDetails						
296	7285	142926	Hi there.. I would like to ask how much data I have right now?	1468920746	6363	0	14	English	Billing	Billing Details	Wrong	Wrong	ObjectNumeric	False	None						
296	7293	142939	My total data available is 2.5 gb right ?	1468920942	6363	0	8	English	Billing	Billing Details	Wrong	Wrong	ObjectNumeric	False	None						
296	7298	142944	I just activate this plan for a few hours .. And why there is a 50 cents sms charge on my account since I didn't sms to others	1468921125	6363	0	28	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	ItemDefinition						
297	7309	143006	my balance data	1468923747	6368	0	3	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	ObjectNumeric	False	None						
297	7317	143024	i mean how to check my data balance	1468923987	6368	0	8	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	Procedure	False	None						
307	7560	147758	hi. boleh saya tau berapa total bil saya perlu bayar?	1469152429	6550	0	10	English	Billing	Billing Details	None	None	None	False							
309	7595	148138	can i revise my plan back to 88 ?	1469160982	6575	0	8	English	Billing	Un-bar lines - Increase CL from RM200 to RM300	Wrong	Wrong	Request	False	None						
317	7770	153083	Credit limit+	1469430995	6770	0	2	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
322	7865	153468	hi. i have received int' SMS and it charged me every time im using mobile data	1469438382	6789	0	16	English	Billing	Waiver	Billing	BillBreakdown	Reason	False	ItemDefinition						
323	7928	153689	may i know is there any ampang redone?	1469441785	6796	0	8	English	Billing	Payment Channel	Wrong	Wrong	ObjectLocation	False	None						
323	7933	153700	ok..operation till nite?	1469441886	6796	0	3	English	Billing	Payment Channel	Wrong	Wrong	ObjectTime	False	None						
327	8017	153913	What is the new credit limit for temporary use ?	1469447264	6805	0	10	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	ObjectNumeric	False	CheckCreditLimitAmount						
328	8050	159963	OK pls increase the credit limit	1469703785	7050	0	6	English	Billing	Billing Error	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
329	8060	170017	my existing RP 8 plan is that free call 53 mns per month?	1470036610	7533	0	11	English	Billing	Billing Dispute	Wrong	Wrong	ObjectDefinition	False	None						
332	8146	170940	can i know what is G voice?	1470044759	7565	0	7	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition						
334	8180	171155	can u help me chk whether my package is including internet data ?	1470046471	7579	0	13	English	Billing	Billing Details	Wrong	Wrong	Request	False	None						
336	8230	171669	How about the DATA 8 ?	1470053127	7598	0	5	English	Billing	Product Charges	Wrong	Wrong	ObjectDefinition	False	None						
338	8263	178951	HOW I WANT TO INCREASE CREDIT LIMIT TO 100.00 	1470210373	7924	0	9	English	Billing	Billing Details	Billing	CreditLimit	Procedure	False	IncreaseCreditLimit						
339	8285	178927	0168912086 / 200112083 Data 8 	1470210161	7925	0	4	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
340	8323	179079	"But at Sarawak, it was said that the Maxis coverage stronger? also hp"	1470212114	7927	0	13	English	Billing	Billing Details	Wrong	Wrong	Reason	False	None						
342	8361	179189	and can u help me change my credit limit to rm 50 ?	1470213223	7938	0	11	English	Billing	Increase credit limit	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
352	8606	181810	"Hi, where I can view details of my calls?"	1470295197	8060	0	9	English	Billing	Billing Details	Billing	BillBreakdown	Procedure	False	HowViewItems						
354	8654	182177	I got to know from your agent that there will be a certain discount on the call charges for my plan. But I don't see them	1470298588	8076	0	26	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount						
354	8680	182305	could you pls explain how the 53 minutes works?	1470299650	8076	0	9	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount						
362	8859	184672	Hello. My name is Nur Syuhada ( 01110520256 ). How can i change email address? tq	1470380946	8179	0	14	English	Billing	Billing Address	Billing	Document	Procedure	False	ChangeDetails						
369	8989	187438	can i check my number package detail	1470545024	8309	0	7	English	Billing	Billing Details	Wrong	Wrong	Request	False	None						
371	9028	194411	can i check with you. My account is still under contract? tq	1470887064	8636	0	12	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
382	9313	197551	i would like to ask about data 8 	1471070985	8786	0	8	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
382	9315	197554	can i convert to data 8 or i still have bond with old package. can u check?	1471071025	8786	0	17	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
382	9318	197562	"if i change, am i been contract for 1 year or can change back to the old plan anytime?"	1471071101	8786	0	19	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
391	9488	199689	hiii. may i know the progress of my wavier. the number of reference is 882628 	1471176806	8884	0	15	English	Billing	Waiver	Wrong	Wrong	ObjectOthers	False	None						
395	9548	201847	i would like to request for temporary increase credit limit	1471243191	8984	0	10	English	Billing	Increase credit limit	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
398	9616	202611	Hi good evening! can i know if i want to cancle this line where can i cancle	1471248518	9021	0	17	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Termination	Procedure	False	HowTerminate						
410	9831	206781	"hi, can u help me to check whether my plan is still under contract"	1471333958	9197	0	14	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
422	10125	210113	"HI, do i need to get new sim to get 4 G coverage?"	1471415794	9321	0	12	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	ObjectOthers	False	None						
428	10302	213881	"for the photocopy of IC , it is my IC or the account holder IC?"	1471574053	9457	0	15	English	Billing	Auto Debit Application	Wrong	Wrong	ObjectName	False	None						
436	10457	218758	"i would like to ask, may i know when is my start using redone?"	1471852453	9653	0	14	English	Billing	Billing Details	Wrong	Wrong	ObjectTime	False	None						
436	10465	218772	"if i want to stop using redone, how long should i be in the contract?]"	1471852743	9653	0	15	English	Billing	Billing Details	Wrong	Wrong	ObjectTime	False	None						
437	10481	219134	May i know why my number always been charged from 33228 	1471865527	9668	0	11	English	Billing	Mobile Content	Billing	BillBreakdown	Reason	False	WhyItemAmount						
445	10705	223020	can i increase the credit limit from RM 50 to RM 100 ?	1472025616	9814	0	10	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
447	10740	223144	Can I confirm my contract done expiry??	1472026310	9819	0	7	English	Billing	Billing Details	Wrong	Wrong	ObjectTime	False	None						
449	10777	223320	May i increase credit limit?	1472027672	9823	0	5	English	Billing	Increase credit limit	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
460	11050	229228	INCREASE TEMPORARY CREDIT LIMIT TO RM 50 	1472281813	10057	0	6	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
460	11051	229229	PLS INCREASE TEMPORARY CREDIT LIMIT TO RM 100 	1472281837	10057	0	7	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Request	False	IncreaseCreditLimit						
462	11094	229296	"Now my plan is 3 gb+ data,if I want update to 5 gb+ how much for the plan??"	1472283584	10060	0	16	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	ObjectNumeric	False	None						
465	11170	230007	MY DATA NOW I PAY RM 30 FOR 1 GB BUT NOW I SHOW IN WEBSIDE 2 GB FOR RM	1472350918	10092	0	19	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
465	11186	230030	HOW COME NOW U OFFER RM 30 FOR 2 GB	1472351277	10092	0	10	English	Billing	Billing Details	Wrong	Wrong	Reason	False	None						
465	11190	230034	OK IF I NEED TO TERMINATED HOW THE PROCESS	1472351332	10092	0	9	English	Billing	Billing Details	Billing	Termination	Procedure	False	HowTerminate						
465	11200	230045	WHAT IS THERE CUSTOMER SERVICE NUMBER	1472351488	10092	0	6	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
466	11212	230151	"Good day, i would like to check on my contract / package due date."	1472355018	10099	0	14	English	Billing	Product Charges	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay						
466	11215	230154	"Good day, i would like to check on my contract / package due date."	1472355074	10099	0	14	English	Billing	Product Charges	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay						
467	11230	230312	My number 0195556821 have any contract?	1472361485	10108	0	6	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
467	11239	230340	Any exact date?	1472361750	10108	0	3	English	Billing	Billing Details	Wrong	Wrong	ObjectTime	False	None						
475	11421	234998	how to i request for the increase of credit limit?	1472522938	10273	0	10	English	Billing	Un-bar lines - Increase CL from RM200 to RM300	Billing	CreditLimit	Procedure	False	IncreaseCreditLimit						
477	11464	235140	"How to covert units to call counts , can explain ?"	1472525597	10282	0	11	English	Billing	Billing Charges	Wrong	Wrong	Procedure	False	None						
481	11537	235908	CAN I INCREASE THE CREDIT LIMIT PERMENTLY?	1472535535	10310	0	7	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Procedure	False	IncreaseCreditLimit						
485	11647	236305	"Hi, i m using 2 GB + 1 GB plan, received msg i already reached 3 GB. new qouta will count from which date"	1472538484	10327	0	22	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	ObjectDefinition	False	None						
487	11698	238932	and also when the contract end?	1472617335	10419	0	6	English	Billing	Billing Details	Wrong	Wrong	ObjectTime	False	None						
487	11710	238973	wonder they are open today?	1472617906	10419	0	5	English	Billing	Billing Details	Wrong	Wrong	ObjectTime	False	None						
488	11735	238882	Hi..happy merdeka day to redone.My mobile data has been reached to 5.48 GB..could you please reconnect again my data.which is I already made a payment go through maybank 2 u online on 28 th this month.kindly reply my messages as soon as possible.regards Chong Li Chen	1472616719	10420	0	42	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	Request	False	None						
498	11936	239648	"i'm going to Qatar soon, how can i deactivate the line for just 9 months starting october 2017 ?"	1472633792	10453	0	18	English	Billing	Billing Details	Billing	Termination	Procedure	False	HowTerminate						
498	11948	239697	how about the charges..is it same or?	1472634211	10453	0	7	English	Billing	Billing Details	Wrong	Wrong	ObjectNumeric	False	None						
498	11955	239725	"so u mean, i can use the line there only deactivate the data to avoid expensive rate?"	1472634444	10453	0	17	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
498	11960	239749	but still messeges from redone frew rite?	1472634704	10453	0	7	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
498	11964	239773	"so, how can i deactivate it?"	1472634861	10453	0	6	English	Billing	Billing Details	Wrong	Wrong	Procedure	False	None						
505	12163	240171	so what is my credit limit and how am i suppose to know tham i reaching the credit limit?	1472641349	10472	0	19	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	ObjectOthers	False	CheckCreditLimitAmount						
509	12237	243013	"why my sub line number, the used data already 2.8 mb??"	1472700766	10606	0	10	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	Reason	False	None						
511	12267	243772	My credit limit is RM 50 why dont barred my line until my bill reached RM 400 	1472704284	10634	0	15	English	Billing	Billing Error	Billing	Barring	Reason	False	BarringOthers						
519	12469	245453	"hello, have u checked my acc?"	1472715678	10693	0	6	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
519	12473	245460	"later u will send me yr survey questions, right?"	1472715781	10693	0	9	English	Billing	Billing Details	None	None	None	False							
521	12492	246005	I would like the data plan that I subscribe for all my redone numbers	1472720226	10719	0	14	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
521	12501	246066	what is PPU may I ask?	1472720460	10719	0	6	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition						
521	12504	246129	did I subscribe to the IGB unlimited data as well?	1472720743	10719	0	10	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
521	12512	246162	if u dont mind can u list all the numbers that I'm using...coz I'm using for the 1 st time...n just fund out the number that I requested was not the same..tq	1472720989	10719	0	31	English	Billing	Billing Details	Wrong	Wrong	ObjectOthers	False	None						
525	12591	247585	"Good Morning, may I know what is the mean of PPU that show on my statement bill's DATA OPTION?"	1472777759	10783	0	19	English	Billing	Data Bundle / PPU Rate	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition						
525	12599	247612	I want to check about my what is my recent Plan?	1472777984	10783	0	11	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	ObjectDefinition	False	None						
525	12605	247618	"If over 500 mb, how to charge?"	1472778066	10783	0	6	English	Billing	Data Bundle / PPU Rate	Wrong	Wrong	Procedure	False	None						
530	12702	248303	i need to change credit limit for the number 01155031798 to RM 10.00. <NL>Can your centre please help?	1472786164	10823	0	16	English	Billing	Auto Debit Application	Billing	CreditLimit	Request	False	DecreaseCreditLimit						
532	12758	248838	How to check data usage	1472791341	10843	0	5	English	Billing	Billing Details	Wrong	Wrong	Procedure	False	None						
532	12762	248848	My plangot data?	1472791464	10843	0	3	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
535	12803	249030	how to terminate ?	1472794506	10853	0	4	English	Billing	Make Payment - Dealers	Billing	Termination	Procedure	False	HowTerminate						
536	12861	249133	0165499759 data charge RM 5 ?	1472795664	10854	0	4	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition						
536	12863	249140	mean 0165499759 no have any charge on data?	1472795768	10854	0	8	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition						
537	12895	249228	HI<NL>i m using redone RM 8 plan.<NL>Why i still getting charge in the 500 mb ? Not free ?	1472796566	10859	0	17	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	ItemDefinition						
539	12919	261364	pls check for me why ac 200288988 ppu 67.67 	1473074471	11317	0	9	English	Billing	Data Bundle / PPU Rate	Billing	BillBreakdown	Reason	False	ItemDefinition						
540	12929	263405	Hi May I know RM 8 data is charges for 30 dyas	1473146635	11386	0	11	English	Billing	Billing Details	Wrong	Wrong	ObjectDefinition	False	None						
540	12945	263442	2 days I receives 01 / 9 bill? why?	1473147036	11386	0	7	English	Billing	Billing Details	Billing	PaymentCycle	Reason	False	WhenBillUpdate						
540	12946	263444	why not 30 days later charges me?	1473147067	11386	0	7	English	Billing	Billing Details	Billing	PaymentCycle	Reason	False	WhenBillUpdate						
540	12947	263445	2 days only charges me?	1473147077	11386	0	5	English	Billing	Billing Details	Billing	PaymentCycle	Reason	False	WhenBillUpdate						
