conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
1956	49032	425992	can u unblock it back this no	1478498275	18275	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	True	RequestUnbar
1964	49183	427763	unbar my phone number	1478567911	18353	0	4	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
1964	49194	427786	ya, is it possible for unbarring?	1478568233	18353	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	True	HowUnbar
1965	49233	427845	Please activate my number	1478568922	18355	0	4	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
1965	49242	427854	Can i know , normally how much will be barred ?	1478569049	18355	0	11	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectNumeric	True	CheckUnbarAmount
1970	49371	428846	can u unblock my no	1478581741	18399	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	True	RequestUnbar
1985	49661	430559	May I know why i paid for 2 days already, why still on barred ?	1478653966	18474	0	15	English	Billing	Increase credit limit	Billing	Barring	Reason	True	WhyStillBar
1985	49664	430567	May I know why i paid for 2 days already, why still on barred ?	1478654000	18474	0	15	English	Billing	Increase credit limit	Billing	Barring	Reason	True	WhyStillBar
1995	49920	432117	hi, why is 1 of my sub-line suspended?	1478678742	18536	0	8	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyBar
1995	49932	432241	can u unsuspend the line now?	1478680470	18536	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	True	RequestUnbar
1995	49935	432252	ok. how soon the line can be used?	1478680588	18536	0	8	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectTime	False	CheckUnbarTime
1995	49939	432268	by the way, as the line has been barred, i i wonder what is the purpose of suspending the line?	1478680757	18536	0	20	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyBar
1996	49949	432302	my line has been bared	1478681275	18542	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	LineStatus
2005	50206	434871	Hi good evening <NL>My number is 01110867826 <NL>Can u check why Cannot call out <NL>Thanks	1478782135	18645	0	14	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	True	LineStatus
2006	50241	434952	if i want to open barr what is minimum payment i should pay	1478819534	18647	0	13	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectNumeric	False	CheckUnbarAmount
2006	50249	434960	is there any extra charges to unsuspend	1478819718	18647	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectNumeric	True	CheckUnbarAmount
2011	50366	435572	is it my linw JAS BEEN BARRED	1478835075	18671	0	7	English	Billing	Billing Details	Billing	Barring	None	True	LineStatus
2018	50551	436828	hai..... <NL>jika line disconnected and if today i ll make pyment.... when it will be connected?	1478908991	18720	0	16	English	Billing	Make Payment - Selfcare	Billing	Barring	ObjectTime	False	CheckUnbarTime
2020	50610	437196	HELLO REDONE IM KIRAN KUMAR HERE. 1 OF REDONE USER, I'VE BEEN PAID THIS MONTH NOVEMBER BILL. BUT I COULNDN'T MAKE ANY CALLS OR MSG DUE TO MY STATUS WAS BARRED. PLEASE CHECK THE STATEMENT. MY PAYMENT METHOD WILL BE ONLINE TRANSACTION. PLEASE HAVE A LOOK ON IT. MY REDONE NUMBER WILL BE 0136830524. TQ	1478927398	18736	0	55	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	Barring	Reason	False	LineStatus
2020	50611	437197	ELLO REDONE IM KIRAN KUMAR HERE. 1 OF REDONE USER, I'VE BEEN PAID THIS MONTH NOVEMBER BILL. BUT I COULNDN'T MAKE ANY CALLS OR MSG DUE TO MY STATUS WAS BARRED. PLEASE CHECK THE STATEMENT. MY PAYMENT METHOD WILL BE ONLINE TRANSACTION. PLEASE HAVE A LOOK ON IT. MY REDONE NUMBER WILL BE 0136830524. TQ	1478927412	18736	0	55	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	Barring	Reason	False	LineStatus
2021	50667	437342	nmy line has been barred..	1478931215	18740	0	5	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Reason	False	LineStatus
2021	50678	437355	i cannot make calls from my phone , it has been barred	1478931452	18740	0	12	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Reason	False	LineStatus
2024	50776	437601	please help me unbar the number as well	1478940789	18751	0	8	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
2024	50801	437702	please help unsuspend my line	1478942509	18751	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
2024	50802	437703	how long the line can be use?	1478942513	18751	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Billing	None	Object	False	
2024	50808	437710	unsuspend the line please	1478942664	18751	0	4	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
2031	51043	438379	activate my barred account	1478996653	18778	0	4	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
2048	51606	440829	please don't tell me u guys have terminated my line	1479089161	18896	0	10	English	Billing	Billing Details	Billing	Barring	Object	True	LineStatus
2069	52144	442386	Hi my name Kavita Arumugam<NL>Phone 0193818546 <NL>Can you please connect my line as its barred	1479110307	18972	0	14	English	Billing	Un-bar lines - Increase CL from RM150 to RM200	Billing	Barring	Request	False	RequestUnbar
2069	52152	442427	Can you please connect my line as its barred<NL>I'm having difficulties as every time I need to add my credit limit.<NL>Can you please add on my credit limit to RM 200 	1479110526	18972	0	30	English	Billing	Un-bar lines - Increase CL from RM150 to RM200	Billing	Barring	Request	False	RequestUnbar
2069	52173	442538	Do you reconnect my line?	1479111338	18972	0	5	English	Billing	Un-bar lines - Increase CL from RM150 to RM200	Billing	Barring	Request	True	LineStatus
2086	52510	443918	if my bill got barred, am i able to unbar it today if i pay the bill now ?	1479171945	19039	0	19	English	Billing	Make Payment - Selfcare	Billing	Barring	Request	True	CheckUnbarTime
2087	52522	443907	Hi, I have paid my bills rm 50 through maybank 2 u yesterday 930 am, and the rest of my bills via selfcare this morning, so can I know when are you going to connect my phone line? can you make is asap. thanks	1479171890	19041	0	40	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	True	CheckUnbarTime
2088	52554	444034	hi my group line is barred but i made payment yesterday through jompay,	1479173000	19047	0	13	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	LineStatus
2088	52570	444075	can activate the line today?	1479173349	19047	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	True	RequestUnbar
2090	52633	444203	IM PAID ALREADY WHY MY STATES ALSO BARRED	1479174151	19054	0	8	English	Billing	Billing Details	Billing	Barring	Reason	False	WhyStillBar
2094	52712	444784	why my line is been barred<NL><NL>this is jega jothi 851031145840 	1479177859	19082	0	10	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Reason	False	WhyBar
2096	52751	445888	WHEN CAN UNBARRED MY LINE	1479188070	19131	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2096	52754	445916	WHEN CAN UNBARRED MY LINE	1479188228	19131	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2096	52764	445958	so,when can unbarred my line	1479188525	19131	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2099	52832	446043	hi, i have paid my bill, why until now i couldnt make any calls yet ? i paid it an hour ago	1479189055	19136	0	22	English	Billing	Billing Details	Billing	Barring	Reason	False	LineStatus
2101	52882	446437	why I make payment already still cannot using?	1479193659	19152	0	8	English	Billing	Billing Details	Billing	Barring	Reason	False	WhyStillBar
2106	53028	446725	i Got a question whether my 0199216888 is active now?	1479196053	19164	0	10	English	Billing	Auto Debit Application	Billing	Barring	None	True	LineStatus
2106	53066	446894	0199216888 is already active now	1479197166	19164	0	5	English	Billing	Auto Debit Application	Billing	None	None	False	
2107	53132	446772	can u help me to check my line still active..?	1479196346	19167	0	10	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	True	LineStatus
2107	53141	446816	barring mean unable to call..?	1479196603	19167	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectDefinition	True	LineStatus
2107	53142	446817	what wrong with my account..	1479196613	19167	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	None	ObjectName	False	None
2109	53191	447461	Hai, i have made payment today and when i can use it	1479200634	19187	0	12	English	Billing	Payment Status	Billing	Barring	ObjectTime	False	CheckUnbarTime
2111	53256	447518	my account got barred	1479201142	19192	0	4	English	Billing	Payment Status	Billing	Barring	None	False	LineStatus
2111	53258	447523	can u check whether it is still barred or not ?	1479201170	19192	0	11	English	Billing	Payment Status	Billing	Barring	ObjectName	True	LineStatus
2112	53277	447570	my line have been bloked today	1479201486	19193	0	6	English	Billing	Make Payment - Selfcare	Billing	Barring	None	False	LineStatus
2112	53288	447599	i need to unblock my line	1479201676	19193	0	6	English	Billing	Make Payment - Selfcare	Billing	Barring	Procedure	False	HowUnbar
2112	53292	447603	i need to make full payment or i make payment for Oct' 2016 will do	1479201722	19193	0	14	English	Billing	Make Payment - Selfcare	Billing	Barring	ObjectNumeric	False	HowUnbar
2115	53355	447955	line barred	1479205947	19210	0	2	English	Billing	Payment Status	Billing	Barring	None	False	LineStatus
2115	53360	447962	please enable back my line	1479205988	19210	0	5	English	Billing	Payment Status	Billing	Barring	Request	False	RequestUnbar
2115	53371	447978	as long as i got the payment receipt for your to verify, why take so long	1479206218	19210	0	16	English	Billing	Payment Status	Billing	Barring	Reason	False	CheckUnbarTime
2116	53391	448052	how to deactivate line after been bar	1479207755	19217	0	7	English	Billing	Payment Status	Billing	Barring	Procedure	False	HowUnbar
2116	53398	448137	it is true that i have to mail the receipt of the payment to careline	1479208477	19217	0	15	English	Billing	Payment Status	Billing	PaymentStatus	Procedure	True	ConfirmPaymentReceived
2122	53590	448972	on 3 / 11 / 16 i got message for nov billing, redone instruct to paid rm 61.81 before 1 dec. also, i got a message on 13 / 11 / 16 instrut to paid before 14 nov before line barred which is yesterday.	1479258588	19258	0	36	English	Billing	Billing Charges	Billing	Barring	None	False	LineStatus
2123	53610	449123	my line got barred..but the total to pay ( rm 141.24 is for dec bill...how come?	1479260541	19265	0	15	English	Billing	Billing Details	Billing	Barring	Reason	False	CheckUnbarAmount
2124	53651	449133	my line 0198807766 already barred please increase credit limit...	1479260655	19266	0	9	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	Barring	Request	False	RequestUnbar
2124	53655	449161	please increase credit limit...my line 0198807766 	1479260872	19266	0	6	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	CreditLimit	Request	False	IncreaseCreditLimit
2126	53701	449383	the account has been bared	1479263278	19278	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	False	LineStatus
2126	53709	449424	if i need to unbarr how much min i need to pay??	1479263477	19278	0	12	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectNumeric	False	CheckUnbarAmount
2126	53712	449439	if i pay now, what time can rebarr??	1479263557	19278	0	8	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2127	53726	449410	i want reconnect my line	1479263404	19280	0	5	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Procedure	False	HowUnbar
2128	53754	449535	i already settle payment for october but still can not use	1479264507	19285	0	11	English	Billing	Increase credit limit	Billing	Barring	Reason	False	WhyStillBar
2128	53763	449569	can you release	1479264786	19285	0	3	English	Billing	Increase credit limit	Billing	Barring	Request	False	RequestUnbar
2129	53785	449610	unbarred my lines. I have just paid	1479265115	19287	0	7	English	Billing	Make Payment - Selfcare	Billing	Barring	Request	False	RequestUnbar
2129	53792	449629	can you unbarre my lines and i want to cancel the following lines: 01110613323 01110876989 01155026989. 	1479265316	19287	0	16	English	Billing	Make Payment - Selfcare	Billing	Barring	Request	False	RequestUnbar
2130	53805	449688	i want to proceed to chnage the limit from 50 to 100 	1479265886	19294	0	12	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Request	False	IncreaseCreditLimit
2135	53986	450210	my line has been barred since 30 sept 2016 	1479270145	19314	0	9	English	Billing	Billing Charges	Billing	Barring	None	False	LineStatus
2136	54044	450332	Hi, i already paid my bill but my phone still displays no service. Why?	1479271597	19317	0	14	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyStillBar
2138	54088	450469	hi , I've been told that my line has been blocked , can you help my check for the reasons?	1479272894	19323	0	20	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	True	WhyBar
2139	54114	450524	hello there, i've made payment for my account on 15 / 11 / 2016. but today my line still be bared. once i check the balance still not decreasing, it remain same. but i also have check my account, it have been deducted. can <NL>you please explain this situation...	1479274557	19325	0	45	English	Billing	Payment Status	Billing	Barring	Reason	True	WhyStillBar
2143	54224	451078	MY NUMBER HAD BEEN BARRED COUPLE OF HOURS AGO	1479279384	19353	0	9	English	Billing	Make Payment - Selfcare	Billing	Barring	None	False	LineStatus
2147	54300	451253	Hi i had an overdue payment last night at 10.30 pm. But till now my phone cannot make/received a call..JUNAIDI BIN JAMIL. 780628025319 	1479281728	19365	0	22	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	LineStatus
2147	54304	451292	Fine. Do assist me re activate my barred/suspended line..tq	1479281984	19365	0	9	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
2147	54311	451373	Why the charge so high? the line just cost RM 8 per month but the unsuspend cost me RM 10. 	1479282385	19365	0	20	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	CheckUnbarAmount
2150	54372	451610	hi, can you help me temperaly upgrade limit to rm 100 for this number 0165167363 	1479286762	19379	0	14	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Request	True	IncreaseCreditLimit
2151	54393	451677	hi...my redone have been block...is there any due payment to you	1479287913	19382	0	11	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	ObjectNumeric	True	CheckUnbarAmount
2151	54406	451696	so what do I have to do to open up back my line	1479288135	19382	0	13	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Procedure	False	HowUnbar
2155	54469	452056	Found out my line was barred and immediately I pay my bill. How soon would the line be unharmed?	1479297713	19401	0	19	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2155	54470	452059	I mean unbarred	1479297734	19401	0	3	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	False	LineStatus
2155	54501	452134	No is ok since is barred. I will email my transaction payment to unbar line.	1479298911	19401	0	15	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	False	RequestUnbar
2156	54507	452069	Because i forgot to settle the payment, i think my service has been shut off	1479297899	19402	0	15	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	False	LineStatus
2156	54509	452073	i just settled the payment. can you please check the status of my telephone service	1479297920	19402	0	15	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectOthers	True	LineStatus
2160	54593	452247	Hi, may I ask, I have made my payment for Oct & Nov bill, but why my line still being barred?	1479340246	19412	0	21	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	WhyStillBar
2166	54743	452566	I can't use my phne	1479347436	19427	0	5	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	Barring	None	False	LineStatus
2167	54763	452594	i just done for payment so when can open line for me	1479348043	19428	0	12	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2167	54764	452598	sms i already received for payment but still cant call out	1479348163	19428	0	11	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	False	LineStatus
2170	54825	452662	How long have I to wait after payment been made to unbarred my line ?	1479349716	19431	0	15	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2170	54840	452685	how can , I clear it by today ?	1479350082	19431	0	9	English	Billing	Un-bar lines - Overdue Payment	Billing	None	Procedure	False	
2173	54904	452871	hi i want to know why my line is still get barred	1479352282	19441	0	12	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	WhyStillBar
2176	54987	453215	Hi, bill over, block outgoing. Pay online now, how long taking to unblock?	1479358039	19455	0	13	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2176	54996	453238	only RM 16 outstanding. can u unblock first?	1479358243	19455	0	7	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	True	RequestUnbar
2176	54999	453241	if i pay online using CC now, how long will back to service?	1479358273	19455	0	13	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
2178	55030	454412	Hi. I have paid my oustanding. Can unblock my outgoing call and my packet data	1479429219	19508	0	15	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	False	RequestUnbar
2193	55411	457197	Why did you block my number.?	1479551745	19634	0	6	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	WhyBar
2193	55413	457201	I cant make calls.why?	1479551808	19634	0	4	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	WhyBar
2200	55566	457762	hello i want to update my limit	1479612542	19659	0	7	English	Billing	Un-bar lines - Increase CL from RM150 to RM200	Billing	CreditLimit	Procedure	False	IncreaseCreditLimit
2200	55573	457773	last week i just upadte my limit to day u say no match	1479612822	19659	0	13	English	Billing	Un-bar lines - Increase CL from RM150 to RM200	Billing	CreditLimit	None	False	CheckCreditLimitAmount
2201	55586	457925	My line been bock.. 0195713878 <NL>outstanding RM 10. 	1479618160	19669	0	6	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	None	False	LineStatus
2204	55660	458464	my phone unable to use	1479637362	19692	0	5	English	Billing	Increase credit limit	Billing	Barring	None	False	LineStatus
2208	55738	459176	1 of the numbers in my account has reached its maximum credit limit. Is it possible to stretch the limit beyond its current limit allowed?	1479696059	19725	0	25	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	CreditLimit	Request	True	IncreaseCreditLimit
2208	55746	459220	How am i to let RedOne know about the advance payment? Or will it be automatically allowed for the limit to be increased once the amount has been credited?	1479696580	19725	0	29	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	CreditLimit	Procedure	True	IncreaseCreditLimit
2211	55833	459974	Hi. I think my number is barred	1479711753	19754	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	LineStatus
2211	55837	459979	I have paid all my bills but i cannot use my number...	1479711785	19754	0	12	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	LineStatus
2211	55843	459986	Is my number barred?	1479712032	19754	0	4	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectName	True	LineStatus
2215	55948	460456	can you temporary unbar my number so that I can make my payment?	1479722100	19777	0	13	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	True	RequestUnbar
2215	55963	460530	I can't receive TAC number from the bank	1479723394	19777	0	8	English	Billing	Un-bar lines - Overdue Payment	Billing	BillingTroubleShooting	None	False	BillingTroubleShootingOthers
2215	55965	460533	I am in oversea and I can't receive call or SMS	1479723476	19777	0	11	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	False	LineStatus
2215	55969	460545	it was disconnected	1479723622	19777	0	3	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	False	LineStatus
2215	55970	460546	I can't receive call or sms	1479723630	19777	0	6	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	None	False	LineStatus
2217	56019	460906	1 of my line get barred	1479779229	19795	0	6	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	None	False	LineStatus
2217	56035	460925	erm nope but can u reconnect it	1479779391	19795	0	7	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Request	True	RequestUnbar
2220	56113	461125	hi,my sub line 0107884688 is over limit now.so what can i do ?	1479785767	19806	0	13	English	Billing	Increase credit limit	Billing	Barring	Procedure	False	HowUnbar
2220	56116	461133	hi,my sub line 0107884688 limit reach	1479785872	19806	0	6	English	Billing	Increase credit limit	Billing	Barring	None	False	LineStatus
2220	56117	461134	so what can i do to ublock the line?	1479785885	19806	0	9	English	Billing	Increase credit limit	Billing	Barring	Procedure	False	HowUnbar
2220	56122	461160	ok,so did i have to change bk the limit next time?	1479786072	19806	0	11	English	Billing	Increase credit limit	Billing	CreditLimit	Procedure	True	IncreaseCreditLimit
2221	56151	461335	since it is already barred and suspended	1479789670	19810	0	7	English	Billing	Waiver	Billing	Barring	None	False	LineStatus
2221	56152	461336	anyway, is it possible to reactivate my line back?	1479789700	19810	0	9	English	Billing	Waiver	Billing	Barring	Procedure	True	HowUnbar
2231	56462	462498	now block already..	1479807364	19863	0	3	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	LineStatus
2231	56474	462563	that's number block already	1479808023	19863	0	4	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	LineStatus
2231	56475	462564	how to active back?	1479808034	19863	0	4	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Procedure	False	HowUnbar
2231	56480	462575	ok.. please help me active back..	1479808225	19863	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
2234	56523	462629	about 1 hour ago I talk to your staff to reactivate my sub line	1479811378	19866	0	14	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	None	False	HowUnbar
2234	56526	462633	but my nomber still suspended	1479811418	19866	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	LineStatus
2239	56632	462942	I have made a payment on the 11 November. Still wonder why the line is still suspended?	1479862584	19881	0	17	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyStillBar
2248	56848	463809	I would like to activate my number	1479878435	19916	0	7	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Request	False	RequestUnbar
2248	56849	463813	Why my number always got barred without informing ?	1479878482	19916	0	9	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Reason	False	WhyBar
2248	56854	463821	Please activate my number	1479878631	19916	0	4	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Request	False	RequestUnbar
2248	56863	463831	I would like to change my credit limit	1479878788	19916	0	8	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Request	False	IncreaseCreditLimit
2248	56864	463832	Yes please do I need to increase my limit every month?	1479878810	19916	0	11	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	CreditLimit	Procedure	True	IncreaseCreditLimit
2250	56889	463973	pls check 0137459839 why status is barred and connot call out .	1479882291	19926	0	12	English	Billing	Increase credit limit	Billing	Barring	Reason	False	WhyBar
2250	56899	463989	0137459839 THE CREDIT LIMIT CAN UPDATE	1479882655	19926	0	6	English	Billing	Increase credit limit	Billing	CreditLimit	Request	True	IncreaseCreditLimit
2253	56976	464186	hi, just now i already payment for november. until now my phone still can't call out.	1479887073	19939	0	16	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	Barring	None	False	LineStatus
